,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Region,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
53034,32641309,02/10/2016 10:09:50 AM,02/10/2016 12:06:04 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,119 WEST 56 STREET,WEST 56 STREET,AVENUE OF THE AMERICAS,6 1/2 AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,02/10/2016 06:09:50 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/10/2016 12:06:04 PM,05 MANHATTAN,MANHATTAN,990196.0,217630.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76401850809139,-73.97853542441007,"(40.76401850809139, -73.97853542441007)"
89330,32594642,02/03/2016 02:06:53 PM,02/03/2016 02:48:59 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10036,23 WEST 43 STREET,WEST 43 STREET,5 AVENUE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,Precinct,Closed,02/03/2016 10:06:53 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/03/2016 02:48:59 PM,05 MANHATTAN,MANHATTAN,989409.0,214191.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.754579828041884,-73.9813790692097,"(40.75457982804188, -73.9813790692097)"
22976,32684732,02/14/2016 10:12:28 AM,02/14/2016 10:53:57 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11216,295 GATES AVENUE,GATES AVENUE,FRANKLIN AVENUE,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,02/14/2016 06:12:28 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/14/2016 10:53:57 AM,03 BROOKLYN,BROOKLYN,996581.0,189083.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.685657336883416,-73.95553840364322,"(40.685657336883416, -73.95553840364322)"
13408,32689599,02/15/2016 11:52:48 AM,02/15/2016 02:31:28 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11229,2071 HARING STREET,HARING STREET,AVENUE T,AVENUE U,,,ADDRESS,BROOKLYN,Precinct,Closed,02/15/2016 07:52:48 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/15/2016 02:31:28 PM,15 BROOKLYN,BROOKLYN,1000629.0,158335.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60125415210555,-73.94101728063164,"(40.601254152105554, -73.94101728063164)"
89333,32595515,02/03/2016 02:06:25 PM,02/03/2016 03:01:03 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11362,248-25 NORTHERN BOULEVARD,NORTHERN BOULEVARD,ZION STREET,249 STREET,,,ADDRESS,LITTLE NECK,Precinct,Closed,02/03/2016 10:06:25 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/03/2016 03:01:03 PM,11 QUEENS,QUEENS,1056652.0,219003.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76749255220068,-73.73862065958113,"(40.76749255220068, -73.73862065958114)"
53201,32642680,02/10/2016 09:46:32 AM,02/10/2016 12:15:19 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,,,ADDRESS,FRESH MEADOWS,Precinct,Closed,02/10/2016 05:46:32 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/10/2016 12:15:20 PM,08 QUEENS,QUEENS,1037000.0,202363.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72195913199264,-73.80969682426189,"(40.72195913199264, -73.80969682426189)"
35031,32658769,02/12/2016 05:05:54 PM,02/12/2016 11:56:19 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11223,31 GRAVESEND NECK ROAD,GRAVESEND NECK ROAD,GRAVESEND CEMETERY BOUNDARY,GRAVESEND CEMETERY BOUNDARY,,,ADDRESS,BROOKLYN,Precinct,Closed,02/13/2016 01:05:54 AM,The Police Department responded to the complaint and took action to fix the condition.,02/12/2016 11:56:19 PM,15 BROOKLYN,BROOKLYN,991436.0,156166.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.595312908138034,-73.97412466677818,"(40.59531290813804, -73.97412466677818)"
13433,32691898,02/15/2016 11:50:51 AM,02/15/2016 12:18:42 PM,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10002,9 ALLEN STREET,ALLEN STREET,DIVISION STREET,CANAL STREET,,,ADDRESS,NEW YORK,Precinct,Closed,02/15/2016 07:50:51 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/15/2016 12:18:42 PM,03 MANHATTAN,MANHATTAN,986300.0,199723.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71487000132079,-73.99260512396494,"(40.71487000132079, -73.99260512396494)"
53022,32641938,02/10/2016 10:12:25 AM,02/10/2016 10:26:48 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,58TH STREET,58TH STREET,,,,,LATLONG,,Precinct,Closed,02/10/2016 06:12:25 PM,The Police Department responded to the complaint and took action to fix the condition.,02/10/2016 10:26:48 AM,07 BROOKLYN,BROOKLYN,976549.0,175220.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.647611726800385,-74.02775148003735,"(40.64761172680038, -74.02775148003734)"
89382,32593860,02/03/2016 01:56:47 PM,02/03/2016 03:14:44 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11209,73 MACKAY PLACE,MACKAY PLACE,NARROWS AVENUE,LOUISE TERRACE,,,ADDRESS,BROOKLYN,Precinct,Closed,02/03/2016 09:56:47 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/03/2016 03:14:44 PM,10 BROOKLYN,BROOKLYN,975027.0,171148.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63643350743436,-74.03323062300981,"(40.63643350743436, -74.03323062300981)"
53210,32642014,02/10/2016 09:45:10 AM,02/10/2016 12:15:21 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,,,ADDRESS,FRESH MEADOWS,Precinct,Closed,02/10/2016 05:45:10 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/10/2016 12:15:21 PM,08 QUEENS,QUEENS,1037000.0,202363.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72195913199264,-73.80969682426189,"(40.72195913199264, -73.80969682426189)"
71933,32617412,02/06/2016 04:42:32 PM,02/06/2016 08:40:23 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10027,2041 7 AVENUE,7 AVENUE,WEST 122 STREET,WEST 123 STREET,,,ADDRESS,NEW YORK,Precinct,Closed,02/07/2016 12:42:32 AM,The Police Department responded to the complaint and took action to fix the condition.,02/06/2016 08:40:23 PM,10 MANHATTAN,MANHATTAN,998186.0,233340.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.807129273329735,-73.94965958870036,"(40.807129273329735, -73.94965958870036)"
13411,32692062,02/15/2016 11:52:17 AM,02/15/2016 03:47:20 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10029,2010 3 AVENUE,3 AVENUE,EAST 110 STREET,EAST 111 STREET,,,ADDRESS,NEW YORK,Precinct,Closed,02/15/2016 07:52:17 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/15/2016 03:47:20 PM,11 MANHATTAN,MANHATTAN,1000139.0,228710.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.794417895484116,-73.94261580922715,"(40.79441789548412, -73.94261580922716)"
61620,32627280,02/08/2016 08:43:02 PM,02/08/2016 09:57:15 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,1881 STOCKHOLM STREET,STOCKHOLM STREET,ONDERDONK AVENUE,WOODWARD AVENUE,,,ADDRESS,RIDGEWOOD,Precinct,Closed,02/09/2016 04:43:02 AM,The Police Department responded to the complaint and took action to fix the condition.,02/08/2016 09:57:15 PM,05 QUEENS,QUEENS,1008228.0,197510.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.708763590436284,-73.9135131107578,"(40.708763590436284, -73.91351311075782)"
13354,32688340,02/15/2016 11:57:53 AM,02/15/2016 01:51:37 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11418,132-50 METROPOLITAN AVENUE,METROPOLITAN AVENUE,132 STREET,KEW GARDENS ROAD,,,ADDRESS,RICHMOND HILL,Precinct,Closed,02/15/2016 07:57:53 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/15/2016 01:51:37 PM,09 QUEENS,QUEENS,1034429.0,195425.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.702930971898745,-73.81902375935753,"(40.702930971898745, -73.81902375935753)"
96158,32589234,02/02/2016 12:03:40 PM,02/03/2016 12:55:16 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11230,108 RYDER AVENUE,RYDER AVENUE,MC DONALD AVENUE,EAST 2 STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,02/02/2016 08:03:40 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/03/2016 12:55:16 AM,12 BROOKLYN,BROOKLYN,991611.0,162479.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.61264066270729,-73.97348764713264,"(40.61264066270729, -73.97348764713264)"
53108,32641995,02/10/2016 10:00:23 AM,02/10/2016 02:15:07 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11218,425 EAST 9 STREET,EAST 9 STREET,CORTELYOU ROAD,DITMAS AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,02/10/2016 06:00:23 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/10/2016 02:15:07 PM,12 BROOKLYN,BROOKLYN,992671.0,171765.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.638127839550535,-73.96965822612022,"(40.63812783955054, -73.96965822612022)"
89543,32593851,02/03/2016 01:31:47 PM,02/03/2016 03:49:50 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11215,,,,,17 STREET,4 AVENUE,INTERSECTION,BROOKLYN,Precinct,Closed,02/03/2016 09:31:47 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/03/2016 03:49:50 PM,07 BROOKLYN,BROOKLYN,986095.0,181537.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66495366388236,-73.99334959205616,"(40.66495366388236, -73.99334959205616)"
89507,32596306,02/03/2016 01:37:39 PM,02/03/2016 03:13:30 PM,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,11373,,,,,DEAD END STREET,DONGAN AVENUE,INTERSECTION,ELMHURST,Precinct,Closed,02/03/2016 09:37:39 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/03/2016 03:13:30 PM,04 QUEENS,QUEENS,1017988.0,209291.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.741067712289855,-73.8782504842316,"(40.74106771228986, -73.87825048423161)"
53150,32643500,02/10/2016 09:54:50 AM,02/10/2016 10:54:52 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,521 WEST 57 STREET,WEST 57 STREET,10 AVENUE,11 AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,02/10/2016 05:54:50 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/10/2016 10:54:52 AM,04 MANHATTAN,MANHATTAN,987127.0,219652.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.769569905657846,-73.9896133987357,"(40.76956990565785, -73.98961339873571)"
37083,32662522,02/12/2016 12:49:55 PM,02/12/2016 01:45:26 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10038,WILLIAM STREET,WILLIAM STREET,,,,,LATLONG,NEW YORK,Precinct,Closed,02/12/2016 08:49:55 PM,The Police Department responded to the complaint and took action to fix the condition.,02/12/2016 01:45:26 PM,01 MANHATTAN,MANHATTAN,982571.0,197934.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70995970049389,-74.00605613767813,"(40.70995970049389, -74.00605613767812)"
71849,32615611,02/06/2016 05:03:38 PM,02/07/2016 08:07:23 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,445 58 STREET,58 STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,02/07/2016 01:03:38 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/07/2016 08:07:23 AM,07 BROOKLYN,BROOKLYN,979769.0,172935.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64134210874057,-74.01614630520673,"(40.64134210874057, -74.01614630520673)"
89489,32592187,02/03/2016 01:41:00 PM,02/03/2016 03:15:49 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10453,71 WEST 174 STREET,WEST 174 STREET,MACOMBS ROAD,NELSON AVENUE,,,ADDRESS,BRONX,Precinct,Closed,02/03/2016 09:41:00 PM,The Police Department responded to the complaint and took action to fix the condition.,02/03/2016 03:15:49 PM,05 BRONX,BRONX,1007371.0,247965.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84725144597574,-73.91643062569287,"(40.84725144597574, -73.91643062569287)"
53072,32645006,02/10/2016 10:05:30 AM,02/10/2016 05:51:55 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10301,45 KIRBY COURT,KIRBY COURT,HENDERSON AVENUE,CORTELYOU PLACE,,,ADDRESS,STATEN ISLAND,Precinct,Closed,02/10/2016 06:05:30 PM,The Police Department responded to the complaint and took action to fix the condition.,02/10/2016 05:51:55 PM,01 STATEN ISLAND,STATEN ISLAND,958380.0,172676.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64059456170984,-74.09321586981301,"(40.64059456170984, -74.09321586981302)"
89578,32592321,02/03/2016 01:27:31 PM,02/03/2016 03:14:46 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10453,1 RICHMAN PLAZA,RICHMAN PLAZA,DEAD END,MAC CRACKEN AVENUE,,,ADDRESS,BRONX,Precinct,Closed,02/03/2016 09:27:31 PM,The Police Department responded to the complaint and took action to fix the condition.,02/03/2016 03:14:46 PM,05 BRONX,BRONX,1005595.0,249540.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.851578825579374,-73.92284484640693,"(40.851578825579374, -73.92284484640693)"
13338,32688341,02/15/2016 11:59:18 AM,02/15/2016 03:37:50 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11229,2071 HARING STREET,HARING STREET,AVENUE T,AVENUE U,,,ADDRESS,BROOKLYN,Precinct,Closed,02/15/2016 07:59:18 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/15/2016 03:37:50 PM,15 BROOKLYN,BROOKLYN,1000629.0,158335.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60125415210555,-73.94101728063164,"(40.601254152105554, -73.94101728063164)"
96135,32589182,02/02/2016 12:07:02 PM,02/02/2016 02:05:15 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11214,187 BAY 19 STREET,BAY 19 STREET,BATH AVENUE,CROPSEY AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,02/02/2016 08:07:02 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/02/2016 02:05:15 PM,11 BROOKLYN,BROOKLYN,982588.0,159012.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60312735936365,-74.00598522636459,"(40.60312735936365, -74.0059852263646)"
53093,32640566,02/10/2016 10:01:38 AM,02/10/2016 12:15:18 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,,,ADDRESS,FRESH MEADOWS,Precinct,Closed,02/10/2016 06:01:38 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/10/2016 12:15:18 PM,08 QUEENS,QUEENS,1037000.0,202363.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72195913199264,-73.80969682426189,"(40.72195913199264, -73.80969682426189)"
61597,32630070,02/08/2016 08:48:06 PM,02/08/2016 10:33:29 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10032,617 WEST 170 STREET,WEST 170 STREET,BROADWAY,FT WASHINGTON AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,02/09/2016 04:48:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/08/2016 10:33:29 PM,12 MANHATTAN,MANHATTAN,1000902.0,246295.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84268235657221,-73.93981655035519,"(40.84268235657221, -73.93981655035519)"
9932,32693158,02/15/2016 07:27:20 PM,02/16/2016 01:37:20 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11104,39-51 44 STREET,44 STREET,BARNETT AVENUE,SKILLMAN AVENUE,,,ADDRESS,SUNNYSIDE,Precinct,Closed,02/16/2016 03:27:20 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/16/2016 01:37:20 AM,02 QUEENS,QUEENS,1006571.0,212123.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74887702492264,-73.91944131200998,"(40.748877024922635, -73.91944131200998)"
70076,32621217,02/07/2016 04:43:48 AM,02/07/2016 05:37:09 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,1914 85 STREET,85 STREET,19 AVENUE,20 AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,02/07/2016 12:43:48 PM,The Police Department issued a summons in response to the complaint.,02/07/2016 05:37:10 AM,11 BROOKLYN,BROOKLYN,984448.0,160131.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60619893985002,-73.99928692578708,"(40.606198939850024, -73.99928692578708)"
35075,32659457,02/12/2016 04:58:16 PM,02/12/2016 10:35:06 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11232,433 43 STREET,43 STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,Precinct,Closed,02/13/2016 12:58:16 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/12/2016 10:35:06 PM,07 BROOKLYN,BROOKLYN,982143.0,176035.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.649851822800976,-74.00759308281647,"(40.649851822800976, -74.00759308281647)"
49141,32644096,02/10/2016 06:47:39 PM,02/10/2016 10:28:19 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11230,1392 OCEAN PARKWAY,OCEAN PARKWAY,AVENUE M,AVENUE N,,,ADDRESS,BROOKLYN,Precinct,Closed,02/11/2016 02:47:39 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/10/2016 10:28:19 PM,12 BROOKLYN,BROOKLYN,992925.0,163368.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.615079595007245,-73.96875382886951,"(40.61507959500724, -73.96875382886952)"
89460,32593038,02/03/2016 01:44:24 PM,02/03/2016 02:10:03 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10003,241 EAST 19 STREET,EAST 19 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,02/03/2016 09:44:24 PM,The Police Department issued a summons in response to the complaint.,02/03/2016 02:10:03 PM,06 MANHATTAN,MANHATTAN,988778.0,207367.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.735850003139795,-73.9836611991244,"(40.7358500031398, -73.9836611991244)"
96143,32583507,02/02/2016 12:05:30 PM,02/02/2016 04:37:11 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10025,150 WEST 105 STREET,WEST 105 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,Precinct,Closed,02/02/2016 08:05:30 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/02/2016 04:37:11 PM,07 MANHATTAN,MANHATTAN,993993.0,230435.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.799161465017136,-73.96480999518782,"(40.79916146501713, -73.96480999518782)"
96180,32582409,02/02/2016 12:02:11 PM,02/02/2016 03:08:55 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11374,97-12 65 ROAD,65 ROAD,SAUNDERS STREET,65 AVENUE,,,ADDRESS,REGO PARK,Precinct,Closed,02/02/2016 08:02:11 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,02/02/2016 03:08:55 PM,06 QUEENS,QUEENS,1023468.0,204502.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72790050072775,-73.85850288672889,"(40.72790050072775, -73.85850288672889)"
96122,32588037,02/02/2016 12:08:44 PM,02/02/2016 04:02:36 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,60-19 59 ROAD,59 ROAD,60 STREET,60 LANE,,,ADDRESS,MASPETH,Precinct,Closed,02/02/2016 08:08:44 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/02/2016 04:02:36 PM,05 QUEENS,QUEENS,1010417.0,200947.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71819112734722,-73.90560419483623,"(40.71819112734722, -73.90560419483624)"
9944,32694882,02/15/2016 07:23:33 PM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10003,142 2 AVENUE,2 AVENUE,ST MARKS PLACE,EAST 9 STREET,,,ADDRESS,NEW YORK,Precinct,Open,02/16/2016 03:23:33 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,03 MANHATTAN,MANHATTAN,987756.0,204880.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72902426302629,-73.98735027204484,"(40.72902426302629, -73.98735027204485)"
96184,32586880,02/02/2016 12:01:17 PM,02/02/2016 02:36:40 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10453,,,,,DAVIDSON AVENUE,WEST  182 STREET,INTERSECTION,BRONX,Precinct,Closed,02/02/2016 08:01:17 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/02/2016 02:36:40 PM,05 BRONX,BRONX,1010347.0,251665.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85739854706451,-73.90565966918433,"(40.85739854706451, -73.90565966918433)"
53147,32642003,02/10/2016 09:55:00 AM,02/10/2016 02:28:19 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10306,167 CEDAR GROVE COURT,CEDAR GROVE COURT,CEDAR GROVE AVENUE,BEND,,,ADDRESS,STATEN ISLAND,Precinct,Closed,02/10/2016 05:55:00 PM,The Police Department responded and upon arrival those responsible for the condition were gone.,02/10/2016 02:28:19 PM,02 STATEN ISLAND,STATEN ISLAND,955969.0,143829.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.56140808904179,-74.10178250382468,"(40.56140808904179, -74.10178250382467)"
37095,32661570,02/12/2016 12:47:27 PM,02/12/2016 03:29:30 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10455,620 TIMPSON PLACE,TIMPSON PLACE,EAST 149 STREET,AVENUE ST JOHN,,,ADDRESS,BRONX,Precinct,Closed,02/12/2016 08:47:27 PM,The Police Department responded to the complaint and took action to fix the condition.,02/12/2016 03:29:30 PM,02 BRONX,BRONX,1011312.0,235067.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81183895209863,-73.90223817300901,"(40.81183895209863, -73.90223817300901)"
61582,32624327,02/08/2016 08:51:40 PM,02/08/2016 11:55:00 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11210,24 HUBBARD PLACE,HUBBARD PLACE,EAST 38 STREET,EAST 39 STREET,,,ADDRESS,BROOKLYN,Precinct,Closed,02/09/2016 04:51:40 AM,The Police Department reviewed your complaint and provided additional information below.,02/08/2016 11:55:00 PM,18 BROOKLYN,BROOKLYN,1001483.0,166849.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62462170123742,-73.93792019790556,"(40.62462170123742, -73.93792019790554)"
